Year,Month,Day,Hour,Minute,Temperature,DHI,Wind Speed,Pressure,Wind Direction,GHI,DNI,Relative Humidity
2019,1,1,0,30,16.5,0,2.2,1016,139,0,0,41.17
2019,1,1,1,30,17.5,0,2.4,1017,139,0,0,39.06
2019,1,1,2,30,19.9,48,2.6,1018,139,105,394,33.53
2019,1,1,3,30,22.8,87,2.1,1019,144,317,666,26.11
2019,1,1,4,30,25.7,110,1.3,1019,164,516,793,20.67
2019,1,1,5,30,27.8,124,0.9,1018,199,666,856,17.74
2019,1,1,6,30,28.9,314,1.2,1017,238,565,357,16.74
2019,1,1,7,30,29.4,148,1.7,1016,265,759,855,17.62
2019,1,1,8,30,29.5,144,2.1,1015,277,700,832,20.39
2019,1,1,9,30,29.4,139,2.1,1014,283,568,757,20.98
2019,1,1,10,30,28.6,116,1.8,1014,287,388,653,20.49
2019,1,1,11,30,26.4,76,1.4,1015,293,179,447,22.77
2019,1,1,12,30,24.2,8,1.2,1016,300,9,41,26.9
2019,1,1,13,30,23.2,0,1.2,1016,308,0,0,29.12
2019,1,1,14,30,22.8,0,1.2,1017,315,0,0,30.13
2019,1,1,15,30,22.8,0,1,1017,327,0,0,29.28
2019,1,1,16,30,22.8,0,0.7,1016,186,0,0,27.44
2019,1,1,17,30,22.4,0,0.7,1016,60,0,0,29.14
2019,1,1,18,30,21.7,0,0.9,1016,95,0,0,29.85
2019,1,1,19,30,20.8,0,0.9,1015,109,0,0,30.48
2019,1,1,20,30,20.1,0,0.9,1015,109,0,0,33
2019,1,1,21,30,19.6,0,1.1,1015,96,0,0,33.95
2019,1,1,22,30,19.1,0,1.4,1015,80,0,0,36.03
2019,1,1,23,30,18.7,0,1.6,1016,72,0,0,38.62
2019,1,2,0,30,18,0,2.1,1017,57,0,0,42.08
2019,1,2,1,30,18.2,0,2.2,1018,53,0,0,42.83
2019,1,2,2,30,19.6,51,2.4,1019,55,96,303,39.99
2019,1,2,3,30,22,99,2.7,1020,47,304,594,32.98
2019,1,2,4,30,24.7,123,2.9,1019,31,502,740,25.5
2019,1,2,5,30,27,135,3,1018,18,654,819,21.33
2019,1,2,6,30,28.5,158,2.9,1017,184,735,821,18.91
2019,1,2,7,30,29.2,157,2.8,1015,351,753,833,19.46
2019,1,2,8,30,29.5,149,2.9,1014,344,696,818,20.39
2019,1,2,9,30,29.4,127,2.9,1014,342,578,794,20.83
2019,1,2,10,30,28.7,105,2.7,1015,342,399,701,21.76
2019,1,2,11,30,26.4,71,2.2,1015,343,188,505,24.97
2019,1,2,12,30,24.1,10,2.1,1016,345,11,60,28.93
2019,1,2,13,30,23.2,0,2.1,1017,353,0,0,30.33
2019,1,2,14,30,22.6,0,2.1,1017,182,0,0,31.23
2019,1,2,15,30,21.9,0,2.1,1017,9,0,0,32.28
2019,1,2,16,30,21.3,0,2.3,1017,17,0,0,32.57
2019,1,2,17,30,20.6,0,2.4,1016,28,0,0,32.09
2019,1,2,18,30,19.8,0,2.6,1016,40,0,0,32.08
2019,1,2,19,30,18.9,0,2.6,1016,52,0,0,35.4
2019,1,2,20,30,18.1,0,2.7,1016,62,0,0,39.65
2019,1,2,21,30,17.5,0,2.6,1016,68,0,0,43.07
2019,1,2,22,30,17.1,0,2.5,1017,74,0,0,45.33
2019,1,2,23,30,16.9,0,2.4,1017,79,0,0,45.63
2019,1,3,0,30,16.4,0,2.3,1018,96,0,0,45.27
2019,1,3,1,30,17.2,0,2.3,1019,104,0,0,42.01
2019,1,3,2,30,19.5,47,2.6,1020,108,105,397,35.65
2019,1,3,3,30,22.4,84,2.8,1020,100,321,689,29.33
2019,1,3,4,30,25.5,102,2.5,1020,81,523,823,23.34
2019,1,3,5,30,27.7,111,2.1,1019,52,677,893,19.05
2019,1,3,6,30,28.9,134,2,1018,194,754,881,19.75
2019,1,3,7,30,29.5,133,2.3,1017,351,772,891,20.87
2019,1,3,8,30,29.7,126,2.5,1016,347,716,878,20.45
2019,1,3,9,30,29.5,126,2.6,1015,349,581,796,20.52
2019,1,3,10,30,28.7,105,2.4,1015,350,401,702,21.29
2019,1,3,11,30,26.3,71,2,1015,350,190,506,24.65
2019,1,3,12,30,23.9,10,1.9,1016,175,12,66,29.08
2019,1,3,13,30,22.8,0,2.2,1016,9,0,0,30.75
2019,1,3,14,30,22.1,0,2.5,1017,28,0,0,31.17
2019,1,3,15,30,21.4,0,2.8,1017,47,0,0,30.71
2019,1,3,16,30,20.6,0,3,1017,64,0,0,30.32
2019,1,3,17,30,19.7,0,3.1,1016,77,0,0,31.78
2019,1,3,18,30,18.9,0,3,1016,87,0,0,34.43
2019,1,3,19,30,18.2,0,2.9,1016,94,0,0,36.99
2019,1,3,20,30,17.6,0,2.7,1015,101,0,0,39.05
2019,1,3,21,30,17.1,0,2.5,1015,107,0,0,40.61
2019,1,3,22,30,16.7,0,2.4,1015,111,0,0,41.78
2019,1,3,23,30,16.5,0,2.3,1015,112,0,0,42.28
2019,1,4,0,30,16.2,0,2.2,1016,116,0,0,42.36
2019,1,4,1,30,16.9,0,2.3,1017,119,0,0,40.24
2019,1,4,2,30,18.9,47,2.5,1018,119,103,387,35.49
2019,1,4,3,30,21.8,86,2.4,1018,116,319,675,29.68
2019,1,4,4,30,25.1,108,1.8,1018,109,520,807,23.07
2019,1,4,5,30,27.6,188,1.4,1018,217,580,619,18.94
2019,1,4,6,30,29,232,1.3,1016,317,646,587,18.62
2019,1,4,7,30,29.8,257,1.8,1015,305,643,538,20.38
2019,1,4,8,30,30,133,2.3,1014,305,713,860,20.26
2019,1,4,9,30,29.8,231,2.6,1014,307,457,394,20.6
2019,1,4,10,30,28.9,167,2.5,1014,311,303,322,21.68
2019,1,4,11,30,26.5,74,2.1,1014,315,193,501,25.06
2019,1,4,12,30,24.1,11,1.8,1014,323,13,66,29.58
2019,1,4,13,30,23.1,0,1.7,1015,334,0,0,31.5
2019,1,4,14,30,22.6,0,1.5,1015,350,0,0,32.24
2019,1,4,15,30,22.4,0,1.4,1015,193,0,0,32.17
2019,1,4,16,30,22.2,0,1.3,1015,40,0,0,31.65
2019,1,4,17,30,21.8,0,1.3,1015,62,0,0,31.06
2019,1,4,18,30,21.2,0,1.3,1015,78,0,0,29.01
2019,1,4,19,30,20.6,0,1.2,1014,94,0,0,26.38
2019,1,4,20,30,20,0,1,1014,108,0,0,26.33
2019,1,4,21,30,19.9,0,1,1014,116,0,0,26.26
2019,1,4,22,30,20,0,1.2,1014,124,0,0,28.08
2019,1,4,23,30,20,0,1.2,1014,130,0,0,30.59
2019,1,5,0,30,19.5,0,1.2,1015,187,0,0,33.57
2019,1,5,1,30,19.5,0,1.3,1015,211,0,0,35.57
2019,1,5,2,30,20.6,51,1.4,1016,239,54,25,35.45
2019,1,5,3,30,22.6,92,1.8,1017,299,310,637,33.02
2019,1,5,4,30,25.1,116,2,1016,340,509,770,27.43
2019,1,5,5,30,27.2,285,1.8,1016,331,484,314,22.84
2019,1,5,6,30,28.4,243,1.7,1015,314,637,558,22.79
2019,1,5,7,30,29.1,172,1.8,1014,303,746,797,22.53
2019,1,5,8,30,29.5,165,1.9,1013,298,691,779,20.78
2019,1,5,9,30,29.4,250,1.9,1012,294,431,315,20.06
2019,1,5,10,30,28.7,127,1.6,1012,291,389,613,20.09
2019,1,5,11,30,26.5,83,1.3,1012,287,183,418,22.31
2019,1,5,12,30,24.4,10,1.2,1013,285,11,41,26.6
2019,1,5,13,30,23.5,0,1.3,1013,285,0,0,30.13
2019,1,5,14,30,23,0,1.4,1014,283,0,0,34.28
2019,1,5,15,30,22.6,0,1.6,1014,277,0,0,37.39
2019,1,5,16,30,21.9,0,1.9,1014,269,0,0,40.51
2019,1,5,17,30,21.2,0,2,1014,261,0,0,46.13
2019,1,5,18,30,20.5,0,2,1014,258,0,0,53.61
2019,1,5,19,30,20,0,1.8,1013,266,0,0,59.28
2019,1,5,20,30,19.6,0,1.7,1013,308,0,0,63.63
2019,1,5,21,30,18.9,0,1.8,1013,185,0,0,68.12
2019,1,5,22,30,18.3,0,2.1,1013,35,0,0,71.35
2019,1,5,23,30,18,0,2.2,1013,44,0,0,72.36
2019,1,6,0,30,17.2,0,2.3,1014,61,0,0,74.47
2019,1,6,1,30,17.5,0,2.4,1015,67,0,0,70.14
2019,1,6,2,30,19.1,55,2.7,1016,61,88,231,59.39
2019,1,6,3,30,21.6,118,3.3,1016,40,288,497,46.56
2019,1,6,4,30,24.2,156,3.9,1016,20,480,633,39.11
2019,1,6,5,30,26.2,177,4.1,1015,7,629,711,36.79
2019,1,6,6,30,27.4,191,4.1,1015,174,719,746,34.19
2019,1,6,7,30,28,186,4.2,1014,345,740,769,32.51
2019,1,6,8,30,28.2,170,4.3,1013,344,692,772,30.82
2019,1,6,9,30,28,157,4.3,1013,347,571,716,29.42
2019,1,6,10,30,27.4,126,4.1,1013,352,399,637,28.73
2019,1,6,11,30,25.4,82,3.3,1013,357,194,462,30.78
2019,1,6,12,30,23.2,12,2.9,1014,184,14,61,34.16
2019,1,6,13,30,22.1,0,3.1,1014,13,0,0,35.24
2019,1,6,14,30,21.3,0,3.4,1015,22,0,0,35.3
2019,1,6,15,30,20.3,0,3.6,1015,28,0,0,36.37
2019,1,6,16,30,19.3,0,3.7,1015,33,0,0,39.12
2019,1,6,17,30,18.3,0,3.7,1015,38,0,0,42.57
2019,1,6,18,30,17.4,0,3.8,1015,41,0,0,45.78
2019,1,6,19,30,16.6,0,4,1015,44,0,0,48.35
2019,1,6,20,30,16,0,4.2,1014,47,0,0,48.52
