Year,Month,Day,Hour,Minute,Temperature,DHI,Wind Speed,Pressure,Wind Direction,GHI,DNI,Relative Humidity
2018,1,1,0,30,17.1,0,2.2,1010,71,0,0,64.59
2018,1,1,1,30,17.5,0,2.1,1011,84,0,0,61.33
2018,1,1,2,30,18.8,55,1.9,1012,99,80,175,56.96
2018,1,1,3,30,20.9,134,1.8,1012,73,275,408,48.89
2018,1,1,4,30,23.5,177,1.6,1012,165,460,552,41.16
2018,1,1,5,30,25.6,202,1.9,1011,285,606,637,36.08
2018,1,1,6,30,26.9,220,2.3,1010,282,686,663,33.26
2018,1,1,7,30,27.7,218,2.6,1009,288,706,683,31.59
2018,1,1,8,30,27.9,205,2.8,1008,294,653,670,32.83
2018,1,1,9,30,27.6,199,2.8,1007,299,520,566,33.76
2018,1,1,10,30,26.8,155,2.5,1007,303,351,469,34.87
2018,1,1,11,30,24.9,89,2,1008,308,157,293,39.91
2018,1,1,12,30,22.9,5,1.9,1008,317,6,22,45.96
2018,1,1,13,30,22.1,0,2,1009,328,0,0,46.61
2018,1,1,14,30,21.5,0,2.2,1010,341,0,0,46.6
2018,1,1,15,30,21,0,2.3,1010,352,0,0,46.7
2018,1,1,16,30,20.3,0,2.4,1010,182,0,0,48.61
2018,1,1,17,30,19.6,0,2.5,1010,13,0,0,51.86
2018,1,1,18,30,18.9,0,2.5,1010,26,0,0,55.93
2018,1,1,19,30,18.1,0,2.5,1009,40,0,0,60.57
2018,1,1,20,30,17.3,0,2.4,1009,52,0,0,65
2018,1,1,21,30,16.8,0,2.4,1009,63,0,0,67.27
2018,1,1,22,30,16.4,0,2.3,1009,74,0,0,67.6
2018,1,1,23,30,16.3,0,2.3,1009,79,0,0,64.61
2018,1,2,0,30,16.1,0,2.2,1010,100,0,0,62.64
2018,1,2,1,30,16.7,0,2,1010,113,0,0,58.72
2018,1,2,2,30,18.6,53,2.2,1011,121,85,217,51.74
2018,1,2,3,30,21.3,124,2.2,1011,119,283,464,42.8
2018,1,2,4,30,24.1,165,1.9,1011,118,474,602,35.51
2018,1,2,5,30,26.4,190,1.5,1011,132,618,676,30.8
2018,1,2,6,30,27.7,209,1.1,1010,166,699,697,28.19
2018,1,2,7,30,28.4,210,1,1009,217,715,706,28.07
2018,1,2,8,30,28.7,200,1.2,1008,256,657,681,29.72
2018,1,2,9,30,28.5,204,1.5,1008,273,519,554,30.17
2018,1,2,10,30,27.6,161,1.7,1008,282,348,446,32.63
2018,1,2,11,30,25.5,91,1.7,1008,290,153,267,40.52
2018,1,2,12,30,23.6,5,1.8,1009,299,5,20,46.8
